text,label
Gaji bulan Januari dari PT Maju Jaya,Salary
Transfer gaji bulan Februari,Salary
Pembayaran gaji pokok karyawan,Salary
Gaji tetap akhir bulan,Salary
Pencairan gaji via transfer bank,Salary
Take home pay bulan Maret,Salary
Salary credit from Acme Corp,Salary
Monthly salary deposit,Salary
Base salary payment,Salary
Net salary after deductions,Salary
Payroll transfer from employer,Salary
Salary for April 2024,Salary
Pendapatan gaji bersih,Salary
Gaji + tunjangan kesehatan,Salary
Basic salary + transportation,Salary
Bonus proyek Q1 selesai,Bonus
Insentif kinerja tim,Bonus
Bonus akhir tahun 2023,Bonus
Bonus penjualan triwulanan,Bonus
Bonus penyelesaian target,Bonus
Bonus kehadiran sempurna,Bonus
Performance bonus Q2,Bonus
Sales achievement bonus,Bonus
Annual performance incentive,Bonus
Quarterly target bonus,Bonus
Team completion bonus,Bonus
Attendance perfect bonus,Bonus
Extra payment for overtime,Bonus
Bonus lembur akhir pekan,Bonus
Pendapatan desain logo freelance,Freelance
Honorarium mengajar privat,Freelance
Bayaran jasa terjemahan dokumen,Freelance
Fee konsultasi IT bulan ini,Freelance
Pembayaran artikel 10 tulisan,Freelance
Freelance web development fee,Freelance
Graphic design project payment,Freelance
Consulting service income,Freelance
Translation work payment,Freelance
Tutoring service earnings,Freelance
Writing commission payment,Freelance
Programming freelance income,Freelance
Dividen saham BBCA Q2,Dividend
Pembagian dividen saham TLKM,Dividend
Dividen kuartalan dari portofolio,Dividend
Hasil dividen reksadana campuran,Dividend
Dividen saham Bank BCA,Dividend
Stock dividend from APPL,Dividend
Quarterly stock dividends,Dividend
Mutual fund dividend payout,Dividend
Portfolio dividend income,Dividend
Investment trust dividends,Dividend
Pendapatan sewa ruko bulanan,Rental
Uang sewa apartemen Thamrin,Rental
Pembayaran sewa kantor lantai 3,Rental
Sewa harian mobil Avanza,Rental
Income from property rental,Rental
Apartment lease payment,Rental
Office space rental income,Rental
Car rental daily payment,Rental
Equipment lease revenue,Rental
THR Lebaran 1445 H,Holiday Bonus
Tunjangan Hari Raya 2024,Holiday Bonus
Bonus THR untuk karyawan,Holiday Bonus
Eid al-Fitr holiday allowance,Holiday Bonus
Year-end holiday bonus,Holiday Bonus
Religious holiday payment,Holiday Bonus
Festive season allowance,Holiday Bonus
Penjualan mobil Honda bekas,Asset Sale
Hasil lelang barang antik,Asset Sale
Pendapatan jual laptop gaming,Asset Sale
Uang hasil jual tanah warisan,Asset Sale
Used car sale proceeds,Asset Sale
Antique auction earnings,Asset Sale
Secondhand electronics sale,Asset Sale
Property sale commission,Asset Sale
Uang saku dari orangtua,Allowance
Transfer bulanan untuk biaya kuliah,Allowance
Biaya hidup dari sponsor,Allowance
Weekly allowance from parents,Allowance
College monthly allowance,Allowance
Living expense stipend,Allowance
Student support money,Allowance
Warisan orang tua setelah dijual,Inheritance
Pembagian harta warisan keluarga,Inheritance
Hibah tanah dari eyang,Inheritance
Inheritance from late father,Inheritance
Family estate distribution,Inheritance
Received inheritance money,Inheritance
Pensiun bulanan dari Taspen,Pension
Dana pensiun dari BUMN,Pension
Pembayaran pensiun pegawai negeri,Pension
Monthly pension deposit,Pension
Retirement fund payment,Pension
Company pension scheme,Pension
Pengembalian tiket pesawat Lion,Refund
Refund hotel karena dibatalkan,Refund
Uang kembali belanja online,Refund
Flight ticket refund,Refund
Hotel booking cancellation,Refund
E-commerce purchase return,Refund
Pendapatan warung makan,Small Business
Hasil penjualan online shop,Small Business
Keuntungan bisnis laundry,Small Business
Cafe daily revenue,Small Business
Online store profits,Small Business
Home bakery sales,Small Business
Hadiah ultah dari saudara,Gift
Uang angpao tahun baru,Gift
Bingkisan pernikahan teman,Gift
Birthday gift money,Gift
New year red packet,Gift
Wedding present cash,Gift
Keuntungan saham di pasar modal,Investment
Return investasi reksadana,Investment
Hasil investasi properti,Investment
Stock market gains,Investment
Mutual fund returns,Investment
Real estate investment profit,Investment
Transfer dari teman untuk patungan,Other
Kiriman uang tidak dikenal,Other
Donasi bencana gempa,Other
Money from friend for dinner,Other
Unidentified cash deposit,Other
Charity donation transfer,Other
Pembayaran sewa apartemen bulanan,Rental
Monthly apartment rental payment,Rental
Pendapatan sewa kendaraan,Rental
Vehicle rental income,Rental
Bayaran sewa gedung kantor,Rental
Office space lease payment,Rental
Uang warisan dari orang tua,Inheritance
Inheritance money from parents,Inheritance
Harta warisan keluarga,Inheritance
Family heritage assets,Inheritance
Pembagian warisan,Inheritance
Estate distribution payment,Inheritance
Pensiun dari perusahaan,Pension
Company pension fund,Pension
Dana pensiun bulanan,Pension
Monthly retirement fund,Pension
Pembayaran pensiun,Pension
Pension fund disbursement,Pension
Uang jajan anak kuliah,Allowance
College student allowance,Allowance
Biaya hidup bulanan mahasiswa,Allowance
Monthly living allowance for student,Allowance
Uang saku pekerja lepas,Allowance
Freelancer's stipend,Allowance
Pendapatan bisnis retail,Small Business
Retail business income,Small Business
Keuntungan toko kelontong,Small Business
Grocery store profits,Small Business
Hasil usaha makanan,Small Business
Food business revenue,Small Business
Return saham teknologi,Investment
Tech stock investment return,Investment
Keuntungan reksadana,Investment
Mutual fund gains,Investment
Dividen portofolio,Investment
Investment portfolio dividends,Investment
Bonus target penjualan,Bonus
Sales target bonus,Bonus
Insentif proyek selesai,Bonus
Project completion incentive,Bonus
Bayaran jasa konsultasi,Freelance
Consultation service payment,Freelance
Honorarium narasumber,Freelance
Speaker's honorarium,Freelance
Pengembalian produk cacat,Refund
Defective product refund,Refund
Refund pembelian online,Refund
Online purchase refund,Refund
Hadiah ulang tahun perusahaan,Gift
Company anniversary gift,Gift
Angpao tahun baru,Gift
New year's money gift,Gift
Gaji bulan,Salary
Pendapatan tambahan dari proyek desain,Freelance
Pembayaran bonus untuk keberhasilan tim,Bonus
Dividen investasi saham tahunan,Dividend
Hasil penjualan kamera DSLR bekas,Asset Sale
Bayaran penulisan konten blog,Freelance
Tunjangan Lebaran perusahaan,Holiday Bonus
Uang saku mingguan dari orang tua,Allowance
Honor pembicara seminar,Freelance
Transfer untuk urunan makan malam,Other
Gaji pokok bulan Mei,Salary
Pembayaran sewa harian motor,Rental
Hadiah uang dari teman dekat,Gift
Pengembalian uang tiket konser,Refund
Pembagian dana pensiun bulanan,Pension
Penghasilan dari toko online,Small Business
Investasi saham teknologi membuahkan hasil,Investment
Bonus pencapaian target Q3,Bonus
Pemasukan dari sewa alat camping,Rental
Warisan dari kakek setelah wafat,Inheritance
Bayaran proyek lepas pembuatan web,Freelance
Uang kembali pembelian rusak,Refund
Dana pensiun setiap awal bulan,Pension
Gaji bersih setelah potongan pajak,Salary
Tunjangan akhir tahun keagamaan,Holiday Bonus
Keuntungan dari penjualan motor bekas,Asset Sale
Pendapatan dari sewa gudang,Rental
THR Natal dari kantor pusat,Holiday Bonus
Uang hadiah ulang tahun dari tante,Gift
Dana hasil penjualan rumah warisan,Asset Sale
Bonus akhir proyek digital marketing,Bonus
Penghasilan dari aplikasi mobile buatan sendiri,Small Business
Transfer bantuan bencana banjir,Other
Bayaran freelance desain kemasan produk,Freelance
Dividen dari reksadana saham,Dividend
Keuntungan dari penjualan saham startup,Investment
Gaji tetap bulan Juni 2024,Salary
Tunjangan pendidikan bulanan,Allowance
Pendapatan sewa properti di Bandung,Rental
Hadiah undian akhir tahun,Gift
Insentif kerja shift malam,Bonus
Uang kembali dari toko elektronik,Refund
Dana bulanan dari yayasan,Allowance
Bonus kehadiran penuh satu bulan,Bonus
Gaji mingguan kerja paruh waktu,Salary
Fee konsultasi keuangan lepas,Freelance
Dana hibah dari keluarga,Inheritance
Dividen saham Bank Mandiri,Dividend
Keuntungan dari bisnis makanan ringan,Small Business
Pemasukan dari jualan kerajinan tangan online,Small Business
Bonus penyelesaian proyek tepat waktu,Bonus
Refund biaya pendaftaran pelatihan,Refund
Penghasilan dari persewaan alat pesta,Rental
Bayaran untuk editing video proyek,Freelance
Return investasi properti apartemen,Investment
Gaji tetap dan tunjangan transportasi,Salary
Uang saku harian untuk anak sekolah,Allowance
Pendapatan dari lelang koleksi pribadi,Asset Sale
Hibah properti dari paman,Inheritance
THR Idul Adha dari tempat kerja,Holiday Bonus
Transfer tidak dikenal dari rekening luar negeri,Other
Pencairan dana pensiun karyawan tetap,Pension
Pemasukan dari usaha cuci motor,Small Business
Donasi untuk kegiatan sosial,Other
Uang hadiah lomba menulis,Gift
Bayaran untuk penerjemahan artikel teknis,Freelance
Dividen tahunan dari perusahaan asing,Dividend
Bonus proyek akhir semester,Bonus
Pemasukan dari menyewakan peralatan hiking,Rental
Uang hasil jual gitar elektrik,Asset Sale
Dana bulanan dari sponsor luar negeri,Allowance
Gaji bulanan staf administrasi,Salary
Pembayaran pengembalian pembelian salah ukuran,Refund
Uang hasil saham,Investment
Gaji pokok staf keuangan bulan Juli,Salary
Payroll bulan Agustus untuk staf senior,Salary
Salary transfer bulan September 2024,Salary
Pendapatan tetap dari PT Nusantara,Salary
Gaji bulanan kontrak kerja freelance,Salary
Bonus keberhasilan kampanye digital,Bonus
Insentif loyalitas karyawan tahunan,Bonus
Reward penyelesaian milestone proyek,Bonus
Bonus produktivitas bulan ini,Bonus
Bonus pencapaian personal best,Bonus
Bayaran freelance untuk voice over,Freelance
Jasa fotografi acara pernikahan,Freelance
Fee editing naskah buku,Freelance
Penghasilan proyek animasi lepas,Freelance
Pendapatan sebagai moderator webinar,Freelance
Dividen dari saham energi hijau,Dividend
Pembagian dividen investasi luar negeri,Dividend
Pemasukan dividen tahunan reksadana,Dividend
Quarterly dividend dari portofolio,Dividend
Pendapatan dividen dari ETF,Dividend
Uang sewa studio bulanan,Rental
Penghasilan sewa rumah kos,Rental
Sewa mingguan mobil box,Rental
Pendapatan dari kontrak sewa kantor,Rental
Rental sepeda gunung harian,Rental
THR Imlek dari perusahaan,Holiday Bonus
Bonus Hari Raya dari instansi pemerintah,Holiday Bonus
Tunjangan natal 2024,Holiday Bonus
Holiday incentive akhir tahun,Holiday Bonus
Dana THR dari koperasi,Holiday Bonus
Penjualan HP bekas ke marketplace,Asset Sale
Hasil jual motor bekas online,Asset Sale
Lelang koleksi buku langka,Asset Sale
Pendapatan dari jual barang elektronik,Asset Sale
Penjualan aset pribadi secara tunai,Asset Sale
Transfer bulanan dari orangtua,Allowance
Biaya hidup bulanan dari keluarga,Allowance
Dana tambahan dari sponsor kuliah,Allowance
Uang saku harian dari wali,Allowance
Stipend dari yayasan pendidikan,Allowance
Uang hasil warisan rumah dijual,Inheritance
Pembagian aset keluarga dari kakek,Inheritance
Warisan properti dari nenek,Inheritance
Hibah uang dari orang tua,Inheritance
Penerimaan warisan tanah sawah,Inheritance
Dana pensiun mantan pegawai bank,Pension
Pencairan dana pensiun bulanan,Pension
Transfer pensiun untuk pensiunan guru,Pension
Pensiun tetap dari PT Sejahtera,Pension
Dana pensiun reguler,Pension
Refund tiket kereta yang dibatalkan,Refund
Pengembalian biaya kursus online,Refund
Refund langganan aplikasi tahunan,Refund
Uang kembali dari restoran karena kesalahan transaksi,Refund
Pengembalian pembelian produk cacat,Refund
Penghasilan dari bisnis sablon kaos,Small Business
Penjualan mingguan dari usaha kue rumahan,Small Business
Pendapatan harian dari kios sembako,Small Business
Hasil usaha dropship produk fashion,Small Business
Pemasukan dari kedai kopi lokal,Small Business
Hadiah kontes desain grafis,Gift
Kado ulang tahun dari rekan kerja,Gift
Hadiah natal dari keluarga besar,Gift
Pemberian uang sebagai hadiah wisuda,Gift
Hadiah dari undian pelanggan setia,Gift
Imbal hasil dari investasi logam mulia,Investment
Keuntungan dari crypto staking,Investment
Dividen dari investasi startup teknologi,Investment
Return dari obligasi pemerintah,Investment
Pemasukan dari peer-to-peer lending,Investment
Donasi dari komunitas online,Other
Transfer patungan acara kantor,Other
Bantuan keuangan dari rekan kerja,Other
Transfer sosial dari organisasi amal,Other
Uang masuk dari sumber tak dikenal,Other
"Transfer gaji staf administrasi bulan Oktober",Salary
"Payroll akhir tahun untuk karyawan tetap",Salary
"Pendapatan gaji bulan Desember",Salary
"Pembayaran gaji shift malam",Salary
"Salary transfer untuk karyawan magang",Salary
"Bonus akhir proyek konstruksi",Bonus
"Insentif pencapaian Q3",Bonus
"Bonus loyalitas 5 tahun kerja",Bonus
"Reward penjualan tertinggi mingguan",Bonus
"Extra bonus karena kerja lembur",Bonus
"Pendapatan freelance voice dubbing",Freelance
"Jasa pembuatan presentasi bisnis",Freelance
"Bayaran kerja event organizer lepas",Freelance
"Fee penulisan laporan keuangan",Freelance
"Jasa setup komputer freelance",Freelance
"Dividen saham teknologi asing",Dividend
"Dividend payout dari reksadana pasar uang",Dividend
"Dividen tahunan perusahaan konstruksi",Dividend
"Hasil dividen saham energi",Dividend
"Pendapatan dividen ETF sektor kesehatan",Dividend
"Uang sewa rumah tahunan",Rental
"Sewa properti kontrakan",Rental
"Pendapatan sewa alat berat",Rental
"Sewa mingguan motor matic",Rental
"Pembayaran sewa lapak pasar",Rental
"Tunjangan Lebaran dari instansi pendidikan",Holiday Bonus
"Holiday bonus untuk karyawan tetap",Holiday Bonus
"Bonus natal dari manajemen",Holiday Bonus
"Year-end allowance dari perusahaan",Holiday Bonus
"Bonus THR dari lembaga swasta",Holiday Bonus
"Pendapatan dari jual kamera DSLR",Asset Sale
"Hasil penjualan furnitur bekas",Asset Sale
"Jual peralatan dapur second",Asset Sale
"Penjualan lukisan pribadi",Asset Sale
"Keuntungan jual alat elektronik lama",Asset Sale
"Transfer mingguan dari wali murid",Allowance
"Uang bulanan dari kakak",Allowance
"Dana dukungan pendidikan",Allowance
"Biaya bulanan dari orang tua angkat",Allowance
"Uang makan harian dari keluarga",Allowance
"Hibah dari keluarga besar",Inheritance
"Warisan saham dari ayah",Inheritance
"Uang hasil jual harta warisan",Inheritance
"Pembagian tanah warisan keluarga",Inheritance
"Harta turunan dari leluhur",Inheritance
"Dana pensiun eks karyawan BUMN",Pension
"Transfer pensiun mantan direktur",Pension
"Penghasilan bulanan pensiunan guru",Pension
"Dana pensiun tetap pensiunan swasta",Pension
"Pembayaran rutin dana pensiun",Pension
