text,label
Life insurance premium,Insurance
Car repair today,Vehicle Maintenance
Beli buku pelajaran,Education
Electricity bill today,Utilities
Wedding gift today,Social Events
Phone bill today,Internet & Phone
Ulang tahun teman,Social Events
Winter coat purchase,Clothing
Car repair today,Vehicle Maintenance
Arisan today,Social Events
Haircut today,Personal Care
Kegiatan sekolah today,Children Education
Beli sofa today,Home Furnishing
Beli hadiah today,Shopping
Kirim uang ke orang tua,Family Support
Spa appointment today,Personal Care
Hadiah untuk sepupu,Family Support
Premi jiwa today,Insurance
Vehicle service today,Vehicle Maintenance
Game purchase today,Entertainment
Game purchase today,Entertainment
Tirai baru today,Home Furnishing
Lunasi kartu kredit,Debt Payment
Hospital bill today,Healthcare
Daftar kursus today,Education
Hospital bill today,Healthcare
Church donation today,Charitable Giving
Tirai baru today,Home Furnishing
Perawatan kuku today,Personal Care
Winter coat purchase,Clothing
Bought medicine today,Healthcare
Dinner with friends,Social Events
Fundraiser contribution today,Charitable Giving
Online learning platform,Education
Sent money to parents,Family Support
Belanja kebutuhan rumah,Shopping
Ganti HP today,Electronics
Barang dari mall,Shopping
Support for sibling’s tuition,Family Support
Pajak tahunan today,Tax
Gifted cash to cousin,Family Support
Spa appointment today,Personal Care
Hotel booking today,Travel
Les anak today,Children Education
Transfer ke keluarga,Family Support
Pajak rumah today,Tax
Belanja di Tokopedia,Online Shopping
Asuransi kesehatan today,Healthcare
Property tax today,Housing
Misc charges today,Other
Bayar pajak penghasilan,Tax
Kitchen appliances today,Home Furnishing
Bought medicine today,Healthcare
Isi pulsa today,Internet & Phone
Shoes for work,Clothing
Haircut today,Personal Care
Bank fees today,Other
Model kit today,Hobbies
Business tax payment,Tax
Bayar sewa kos,Housing
Gas untuk masak,Utilities
Asuransi mobil today,Insurance
Baking tools today,Hobbies
Beli skincare today,Personal Care
Shopee order today,Online Shopping
Beli jaket today,Clothing
Ganti HP today,Electronics
Gas utility bill,Utilities
Dinner with friends,Social Events
Gasoline refill today,Transportation
Tiket pesawat ke Bali,Travel
Property tax bill,Tax
Bought groceries today,Food & Drink
Manicure service today,Personal Care
Paid monthly rent,Housing
Winter coat purchase,Clothing
Miscellaneous expense today,Other
Langganan musik today,Entertainment
Model kit today,Hobbies
Paid income tax,Tax
Bayar sekolah anak,Children Education
Life insurance premium,Insurance
Layanan bank today,Other
Pajak kendaraan today,Tax
Pakaian kerja today,Clothing
Beli sofa today,Home Furnishing
Bayar sewa kos,Housing
Children's books today,Children Education
Arisan today,Social Events
Movie tickets today,Entertainment
Rawat inap rumah sakit,Healthcare
Doctor consultation today,Healthcare
Course enrollment today,Education
Gasoline refill today,Transportation
Visa application fee,Travel
Rawat inap rumah sakit,Healthcare
Electricity bill today,Utilities
Bayar utang today,Debt Payment
Perawatan kuku today,Personal Care
Arisan today,Social Events
Fundraiser contribution today,Charitable Giving
Car repair today,Vehicle Maintenance
Course enrollment today,Education
Student debt payment,Debt Payment
Bayar cicilan today,Debt Payment
Garbage collection fee,Utilities
E-commerce electronics purchase,Online Shopping
Tiket bioskop today,Entertainment
Dinner with friends,Social Events
Dekorasi dapur today,Home Furnishing
Aplikasi berlangganan today,Subscriptions
Beli ban baru,Vehicle Maintenance
Bayar utang today,Debt Payment
Isi pulsa today,Internet & Phone
Kindergarten fees today,Children Education
Beli buku pelajaran,Education
Spotify bulanan today,Subscriptions
Ganti HP today,Electronics
Transfer ke keluarga,Family Support
Sepatu baru today,Clothing
Bayar tol today,Transportation
Belanja baju today,Clothing
Bayar listrik today,Utilities
Paid tuition fee,Education
Pajak tahunan today,Tax
Credit card payment,Debt Payment
Periksa ke dokter,Healthcare
Buku pelajaran anak,Children Education
Tablet for school,Electronics
Mortgage repayment today,Debt Payment
Vehicle service today,Vehicle Maintenance
Hotel booking today,Travel
Dinner with friends,Social Events
Gifted cash to cousin,Family Support
Bought new jeans,Clothing
Bayar pajak penghasilan,Tax
Pakaian kerja today,Clothing
Asuransi perjalanan today,Insurance
Bought a new phone,Electronics
Bayar paket data,Internet & Phone
Dekorasi dapur today,Home Furnishing
Belanja baju today,Clothing
Model kit purchase,Hobbies
Baking tools today,Hobbies
Donasi ke panti asuhan,Charitable Giving
Streaming service rental,Entertainment
Langganan internet today,Internet & Phone
Layanan bank today,Other
Church donation today,Charitable Giving
Doctor consultation today,Healthcare
Belanja mingguan today,Shopping
Uber ride to work,Transportation
Tiket kereta ke kota,Transportation
Pet supplies today,Shopping
Beli obat di apotek,Healthcare
Perawatan kuku today,Personal Care
Bayar sewa kos,Housing
Asuransi kesehatan today,Healthcare
Belanja di Tokopedia,Online Shopping
Booking hotel today,Travel
Mortgage repayment today,Debt Payment
Electricity bill today,Utilities
Ganti oli mobil,Vehicle Maintenance
Beli baju online,Online Shopping
Bantu biaya adik,Family Support
Dinner at a restaurant,Food & Drink
Gifted cash to cousin,Family Support
Hotel booking today,Travel
Electricity bill today,Utilities
Daftar kursus today,Education
Curtains for living room,Home Furnishing
Game purchase today,Entertainment
Belanja di Tokopedia,Online Shopping
Les anak today,Children Education
Asuransi mobil today,Insurance
Children's books today,Children Education
Bayar asuransi today,Insurance
Gasoline refill today,Transportation
Manicure service today,Personal Care
Tour package today,Travel
Department store purchases,Shopping
Paid monthly rent,Housing
Bayar uang kontrakan,Housing
Bayar asuransi today,Insurance
Gas untuk masak,Utilities
Bought a new phone,Electronics
Tablet anak today,Electronics
Tablet anak today,Electronics
Netflix subscription today,Subscriptions
Tiket konser today,Social Events
Angsuran pinjaman today,Debt Payment
Asuransi perjalanan today,Insurance
Langganan musik today,Entertainment
Children's books today,Children Education
Beli jaket today,Clothing
Wi-Fi service charge,Internet & Phone
E-commerce electronics purchase,Online Shopping
Pakaian kerja today,Clothing
Hospital bill today,Healthcare
Oil change today,Vehicle Maintenance
Beli properti today,Housing
Main game online,Entertainment
Beli hadiah today,Shopping
Paid tuition fee,Education
Department store purchases,Shopping
Beli camilan di minimarket,Food & Drink
Doctor consultation today,Healthcare
Uber ride to work,Transportation
Course enrollment today,Education
Birthday party expenses,Social Events
Zakat bulanan today,Charitable Giving
Perawatan kuku today,Personal Care
Tiket pesawat ke Bali,Travel
Bayar tol today,Transportation
Netflix subscription today,Subscriptions
Asuransi kesehatan today,Healthcare
Beli skincare today,Personal Care
T-shirts shopping today,Clothing
Kirim uang ke orang tua,Family Support
Paid tuition fee,Education
Spotify bulanan today,Subscriptions
Bayar visa today,Travel
Tablet anak today,Electronics
Pajak rumah today,Tax
Streaming service rental,Entertainment
Beli hadiah today,Shopping
Gifted cash to cousin,Family Support
Mortgage repayment today,Debt Payment
Mortgage repayment today,Debt Payment
Department store purchases,Shopping
Pakaian kerja today,Clothing
Hadiah untuk sepupu,Family Support
Gas untuk masak,Utilities
Premi jiwa today,Insurance
Hospital bill today,Healthcare
Course enrollment today,Education
Dinner with friends,Social Events
Tiket pesawat ke Bali,Travel
Main game online,Entertainment
Perawatan kuku today,Personal Care
Course enrollment today,Education
Bought a new sofa,Home Furnishing
Movie tickets today,Entertainment
Langganan internet today,Internet & Phone
Fundraiser contribution today,Charitable Giving
Ganti HP today,Electronics
Uber ride to work,Transportation
Tiket kereta ke kota,Transportation
E-commerce electronics purchase,Online Shopping
Perawatan kuku today,Personal Care
Garbage collection fee,Utilities
Bayar utang today,Debt Payment
Miscellaneous expense today,Other
Biaya tak terduga,Other
Haircut today,Personal Care
Skincare products today,Personal Care
Property tax bill,Tax
Tiket pesawat ke Bali,Travel
Main game online,Entertainment
Les anak today,Children Education
Pakaian kerja today,Clothing
Tiket pesawat ke Bali,Travel
Spa akhir pekan,Personal Care
Periksa ke dokter,Healthcare
Belanja baju today,Clothing
Shopping for gifts,Shopping
Mortgage payment today,Housing
Wi-Fi service charge,Internet & Phone
Naik ojek ke kantor,Transportation
Transferred funds to family,Family Support
Barang dari mall,Shopping
Paid income tax,Tax
Majalah digital today,Subscriptions
Paid monthly rent,Housing
Sent money to parents,Family Support
Skincare products today,Personal Care
Visa application fee,Travel
Dinner at a restaurant,Food & Drink
Pakaian kerja today,Clothing
Tiket kereta ke kota,Transportation
